CourseCategory,Enrollments,Revenue,AverageRevenue
Artificial Intelligence,829,202750.66999999998,244.57258142340166
Business,833,181527.58000000002,217.92026410564227
Cybersecurity,819,59139.0,72.20879120879121
Data Science,916,77052.32,84.11825327510918
Design,827,43113.72,52.1326723095526
Digital Marketing,808,56261.32,69.63034653465347
Finance,864,28106.2,32.53032407407407
Machine Learning,819,133.38,0.16285714285714284
Marketing,806,0.0,0.0
Programming,806,77453.92,96.09667493796526
Project Management,829,169103.21,203.98457177322075
Web Development,844,16682.15,19.76558056872038
