Feature,Importance
num__CourseDuration,0.2503067087104382
num__CourseRating,0.1514799847532804
cat__CourseCategory_Digital Marketing,0.09727903212354737
num__UniqueUsers,0.07142548248948188
num__PastEnrollments,0.06677349219735522
cat__CourseCategory_Machine Learning,0.049819893654616795
cat__CourseLevel_Beginner,0.035150405781125
cat__CourseCategory_Web Development,0.030214817559228845
cat__CourseCategory_Programming,0.026829545775803466
cat__CourseLevel_Intermediate,0.026255040418916076
num__ExpertiseMatch,0.019099037238578385
cat__CourseCategory_Design,0.01616893527440893
cat__CourseCategory_Finance,0.014886415228176247
cat__RatingTier_Medium,0.011904923642031008
cat__PriceBand_Low,0.010231929801349623
cat__PriceBand_Medium,0.0101719979881414
cat__CourseLevel_Advanced,0.008850257944770006
cat__DurationBucket_Medium,0.008126202312634962
cat__Expertise_Machine Learning,0.0074802566709341765
num__TeacherRating,0.007459900591817747
cat__RatingTier_Low,0.007183953824979235
num__YearsOfExperience,0.006990120562467474
num__PastRevenue,0.006862313487052815
num__PastAverageRevenue,0.0064132932916967965
cat__DurationBucket_Long,0.006021316206284483
cat__Expertise_Cybersecurity,0.005981185804318675
cat__CourseCategory_Data Science,0.005876572466050815
num__CoursePrice,0.00532297710822524
cat__RatingTier_High,0.0043290138405416186
cat__CourseCategory_Cybersecurity,0.003548902336064901
cat__PriceBand_Free,0.003391840839527477
cat__CourseCategory_Project Management,0.0033277695455936106
cat__DurationBucket_Short,0.0032786428015732535
cat__CourseType_Free,0.0030165946020720203
cat__CourseType_Paid,0.002926192163924095
cat__CourseCategory_Marketing,0.0025760874536841713
cat__PriceBand_High,0.0011235149024609056
cat__CourseCategory_Business,0.0010037198973568582
cat__CourseCategory_Artificial Intelligence,0.0009117287094898641
num__PastRevenueStd,0.0
cat__ExperienceBucket_Senior,0.0
